video,bp_detection_rate,bp_hip_range,bp_seg_correct,bp_det_reps,bp_exp_reps,bp_feat_variance,bp_ms_per_frame,rtm_detection_rate,rtm_hip_range,rtm_seg_correct,rtm_det_reps,rtm_exp_reps,rtm_feat_variance,rtm_ms_per_frame
squat_1.MOV,1.0,0.4554065465927124,1,5,6,63.223777770996094,14.588542589485435,1.0,0.6393123269081116,0,1,6,85.68385314941406,63.123023218762455
squat_10.mp4,1.0,0.7100405693054199,1,2,2,61.30580139160156,12.717130474214043,1.0,0.621120810508728,1,2,2,65.41021728515625,37.62693616727899
squat_11.mp4,1.0,0.23094457387924194,1,1,2,59.01668930053711,12.240139465171119,1.0,0.3494759798049927,1,1,2,75.19049072265625,39.25738137978543
squat_12.mp4,1.0,0.4249558746814728,1,1,1,65.8368148803711,12.164328167981477,1.0,0.4429630935192108,1,1,1,69.49858856201172,41.827140857601556
squat_13.mp4,1.0,0.28196728229522705,1,2,2,63.0276985168457,12.044734300042574,1.0,0.3109614849090576,1,2,2,72.36837005615234,42.1751561077634
squat_14.mp4,1.0,0.177828848361969,1,1,1,63.45346450805664,12.277870049405069,1.0,0.19366466999053955,1,1,1,70.19049835205078,41.5535288826
squat_15.mp4,1.0,0.42524462938308716,1,3,3,62.1528205871582,13.576783185583606,1.0,0.424093633890152,1,3,3,66.04407501220703,37.15141784819674
squat_16.mp4,1.0,0.22893530130386353,1,1,1,50.36524963378906,13.869373234325742,1.0,0.36196422576904297,1,1,1,63.94007873535156,50.520102804318626
squat_17.mp4,1.0,0.1657123863697052,1,1,1,71.31561279296875,13.306353027424352,1.0,0.1822531819343567,1,1,1,76.23246002197266,38.8176071817394
squat_18.mp4,1.0,0.17021667957305908,1,1,1,59.79261016845703,12.294198472743794,1.0,0.17212951183319092,1,1,1,82.70404052734375,36.867106113687996
squat_19.mp4,1.0,0.17355847358703613,1,2,2,61.3372917175293,12.386851979035336,1.0,0.1747426986694336,1,2,2,82.44100952148438,36.522645378726295
squat_2.MOV,0.9976744186046511,0.7334431409835815,1,3,4,68.6446533203125,14.242264730206063,1.0,0.40992146730422974,1,4,4,78.58320617675781,53.07400269599003
squat_20.mp4,1.0,0.10734891891479492,1,2,2,63.445125579833984,11.944094957092322,1.0,0.11784923076629639,1,2,2,73.96111297607422,37.07595263875605
squat_21.mp4,0.9885057471264368,0.71226567029953,1,2,3,60.909156799316406,12.24007040222748,1.0,0.48201191425323486,1,2,3,70.51034545898438,47.25497620128063
squat_22.mp4,0.9921052631578947,0.5506129860877991,0,2,4,66.8697509765625,11.711639252730253,1.0,0.26955726742744446,0,2,4,75.49150848388672,45.39315429267988
squat_23.mp4,0.9745370370370371,0.71434086561203,0,2,4,60.3830451965332,11.904958043925474,1.0,0.506646990776062,0,2,4,74.96607971191406,36.97088349306594
squat_24.mp4,0.9848484848484849,0.7107905149459839,1,1,2,68.3810806274414,12.200604166454552,1.0,0.4660710096359253,1,1,2,69.34649658203125,36.78427671930151
squat_25.mp4,1.0,0.26650381088256836,1,3,3,71.27297973632812,11.466404834359928,1.0,0.2968165874481201,1,3,3,73.92630004882812,44.99503786017093
squat_26.mp4,1.0,0.31413957476615906,1,3,4,70.88848114013672,11.838217051579546,1.0,0.31628501415252686,1,3,4,71.95507049560547,36.871041570639534
squat_27.mp4,1.0,0.20383691787719727,0,2,6,56.853668212890625,11.595928902688135,1.0,0.23030364513397217,0,3,6,54.36479949951172,37.591600620944966
